cases_date,cases_max_date,cases_Lat,cases_Long,cases_case_lat_long_id,cases_Country/Region,cases_Province/State,country_populations_pop2020,country_populations_area,country_populations_Density,country_populations_worldPercentage,country_populations_rank,continent_sub-region,continent_continentName,recovered,confirmed,deaths,canada_PROV_TERR_ID,canada_PROV_TERR_NAME_NOM,canada_GEO_UID,canada_GEO_ID,canada_GEO_NAME_NOM,canada_GEO_TYPE,canada_TOPIC_THEME,canada_TEXT_ID,canada_HIER_ID,canada_INDENT_ID,canada_TEXT_NAME_NOM,canada_NOTE_ID,canada_NOTE,canada_T_DATA_DONNEE,canada_T_SYM,canada_M_DATA_DONNEE,canada_M_SYM,canada_F_DATA_DONNEE,canada_F_SYM,10_or_more_confirmed_cases,10_or_more_confirmed_cases_day_count,25_or_more_confirmed_cases,25_or_more_confirmed_cases_day_count,100_or_more_confirmed_cases,100_or_more_confirmed_cases_day_count
2020-01-24,2020-04-01,22.3,114.2,119.0,China,Hong Kong,1439323.7759999998,9706961.0,0.1482774862286971,0.18465661493024282,1,Eastern Asia,,0,2,0,,,,,,,,,,,,,,,,,,,,False,3.0,False,3.0,False,3.0
2020-01-24,2020-04-01,23.3417,113.4244,120.0,China,Guangdong,1439323.7759999998,9706961.0,0.1482774862286971,0.18465661493024282,1,Eastern Asia,,2,53,0,,,,,,,,,,,,,,,,,,,,True,3.0,True,3.0,False,3.0
2020-01-24,2020-04-01,23.8298,108.7881,124.0,China,Guangxi,1439323.7759999998,9706961.0,0.1482774862286971,0.18465661493024282,1,Eastern Asia,,0,23,0,,,,,,,,,,,,,,,,,,,,True,3.0,False,3.0,False,3.0
2020-01-24,2020-04-01,24.974,101.487,127.0,China,Yunnan,1439323.7759999998,9706961.0,0.1482774862286971,0.18465661493024282,1,Eastern Asia,,0,5,0,,,,,,,,,,,,,,,,,,,,False,3.0,False,3.0,False,3.0
2020-01-24,2020-04-01,26.0789,117.9874,132.0,China,Fujian,1439323.7759999998,9706961.0,0.1482774862286971,0.18465661493024282,1,Eastern Asia,,0,10,0,,,,,,,,,,,,,,,,,,,,True,3.0,False,3.0,False,3.0
2020-01-24,2020-04-01,26.8154,106.8748,134.0,China,Guizhou,1439323.7759999998,9706961.0,0.1482774862286971,0.18465661493024282,1,Eastern Asia,,0,3,0,,,,,,,,,,,,,,,,,,,,False,3.0,False,3.0,False,3.0
2020-01-24,2020-04-01,27.6104,111.7088,136.0,China,Hunan,1439323.7759999998,9706961.0,0.1482774862286971,0.18465661493024282,1,Eastern Asia,,0,24,0,,,,,,,,,,,,,,,,,,,,True,3.0,False,3.0,False,3.0
2020-01-24,2020-04-01,27.614,115.7221,137.0,China,Jiangxi,1439323.7759999998,9706961.0,0.1482774862286971,0.18465661493024282,1,Eastern Asia,,0,18,0,,,,,,,,,,,,,,,,,,,,True,3.0,False,3.0,False,3.0
2020-01-24,2020-04-01,29.1832,120.0934,140.0,China,Zhejiang,1439323.7759999998,9706961.0,0.1482774862286971,0.18465661493024282,1,Eastern Asia,,1,43,0,,,,,,,,,,,,,,,,,,,,True,3.0,True,3.0,False,3.0
2020-01-24,2020-04-01,30.0572,107.874,142.0,China,Chongqing,1439323.7759999998,9706961.0,0.1482774862286971,0.18465661493024282,1,Eastern Asia,,0,27,0,,,,,,,,,,,,,,,,,,,,True,3.0,True,3.0,False,3.0
